I
810

2     21.24638500  105.71132300     38 323    37       0.000 K2    NOIBAI 11L K2 NDB
2     21.21174800  105.83116800     38 256    37       0.000 1K    NOIBAI 29L K1 NDB
2     21.19290200  105.89635300     38 336    37       0.000 2K    NOIBAI 29L K2 NDB
2     21.23880800  105.74570800     66 320    37       0.000 KW    NOIBAI (HANOI) NDB
2     21.22754000  105.77653800     38 401    37       0.000 K1    NOIBAI 11R NDB
2     21.22793100  105.78305000     56 230    37       0.000 K     NOIBAI 11R K NDB
3     21.22551600  105.80677000     39 11610 195       0.000 NOB   NOIBAI (HANOI) VOR-DME
4     21.21565500  105.82584500     39 11050  27     107.200 NB    VVNB ILS/DME 11L
4     21.21458800  105.82134600     39 10830  27     107.200 NBA   VVNB ILS/DME 11R
6     21.22519800  105.79577700     39 11050  27  300107.200 ---   VVNB ILS/DME 11L
6     21.22462100  105.78956700     39 10830  27  300107.200 ---   VVNB ILS/DME 11R
7     21.24638600  105.71132300     38 00000   0     107.290 ---   0 OM
7     21.19290200  105.89635400     38 00000   0     107.290 ---   0 OM
7     21.19507000  105.89704500     38 00000   0     107.290 ---   0 OM
8     21.21391700  105.83185900     38 00000   0     107.290 ---   0 MM
8     21.22753900  105.77653900     38 00000   0     107.290 ---   0 MM
8     21.21174800  105.83116900     38 00000   0     107.290 ---   0 MM
8     21.21391700  105.83185900     38 00000   0     107.290 ---   0 MM
12    21.22551600  105.80677000     39 11610 195       0.000 NOB   NOIBAI (HANOI) VOR-DME
12    21.22331900  105.79512200     39 11050  27       0.000 NB    VVNB ILS/DME 11L
12    21.21458800  105.82134600     39 10830  27       0.000 NBA   VVNB ILS/DME 11R
